Field Group,Heading Category,Heading,Status,Product Name,Quantity,Units,Value GBP,Actual/Issued Date,Application Area ha,Av Field Unit Price GBP,Crop Group,Field Defined Name,Variety,Year,Quantity per Application Area ha
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Adigor,8.602,L,41.24,16/04/2018,9.1,4.794,Barley Winter,CF11,Barley Winter,2018,0.945
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Adigor,2.978,L,14.27,16/04/2018,3.15,4.794,Barley Winter,CF21,Barley Winter,2018,0.945
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Adigor,2.42,L,11.6,16/04/2018,2.56,4.794,Barley Winter,CF24,Barley Winter,2018,0.945
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Adigor,8.138,L,39.01,09/05/2018,8,4.794,Wheat Winter,CF16.A,KWS Lili,2018,1.017
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Adigor,11.862,L,56.86,09/05/2018,11.66,4.794,Wheat Winter,CF16.B/02,KWS Lili,2018,1.017
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Adigor,20,L,95.88,09/05/2018,16,4.794,Wheat Winter,CF18,KWS Lili,2018,1.25
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Adigor,6.614,L,31.71,18/05/2018,4.2,4.794,Barley Spring,CF16.C/03,Barley Spring,2018,1.575
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Adigor,7.874,L,37.75,18/05/2018,5,4.794,Barley Spring,CF28,Barley Spring,2018,1.575
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Adigor,5.512,L,26.42,18/05/2018,3.5,4.794,Barley Spring,CF29,Barley Spring,2018,1.575
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Adigor,10,L,47.94,03/06/2018,6.7,4.794,Barley Spring,CF5,Barley Spring,2018,1.493
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,AGWET,0.786,L,2.5,21/03/2018,9.1,3.176,Barley Winter,CF11,Barley Winter,2018,0.086
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,AGWET,0.272,L,0.86,21/03/2018,3.15,3.176,Barley Winter,CF21,Barley Winter,2018,0.086
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,AGWET,0.221,L,0.7,21/03/2018,2.56,3.176,Barley Winter,CF24,Barley Winter,2018,0.086
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,AGWET,0.339,L,1.08,21/03/2018,3.93,3.176,Barley Winter,CF34,Barley Winter,2018,0.086
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,AGWET,0.293,L,0.93,21/03/2018,3.39,3.176,Barley Winter,CF35,Barley Winter,2018,0.086
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,AGWET,0.589,L,1.87,21/03/2018,6.82,3.176,Barley Winter,CF43,Barley Winter,2018,0.086
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,AGWET,0.523,L,1.66,21/03/2018,8,3.176,Wheat Winter,CF16.A,KWS Lili,2018,0.065
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,AGWET,0.762,L,2.42,21/03/2018,11.66,3.176,Wheat Winter,CF16.B/02,KWS Lili,2018,0.065
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,AGWET,0.661,L,2.1,21/03/2018,10.11,3.176,Wheat Winter,CF2,KWS Lili,2018,0.065
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,AGWET,0.239,L,0.76,21/03/2018,3.66,3.176,Wheat Winter,CF27,KWS Kerrin,2018,0.065
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,AGWET,0.314,L,1,21/03/2018,4.8,3.176,Wheat Winter,CF33,KWS Lili,2018,0.065
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,All clear,10,L,33.38,09/05/2018,10.11,3.338,Wheat Winter,CF2,KWS Lili,2018,0.989
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,All clear,2.381,L,7.95,18/05/2018,7.78,3.338,Sugar Beet,CF17,Sugar Beet,2018,0.306
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,All clear,2.509,L,8.38,18/05/2018,8.2,3.338,Sugar Beet,CF26,Sugar Beet,2018,0.306
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,All clear,5.11,L,17.06,18/05/2018,16.7,3.338,Sugar Beet,CF44,Sugar Beet,2018,0.306
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Biopower,10,L,31.5,09/05/2018,10.11,3.15,Wheat Winter,CF2,KWS Lili,2018,0.989
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,4.097,L,23.15,20/09/2017,6.7,4.133,Barley Spring,CF5,Barley Spring,2018,0.611
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,1.364,L,7.71,20/09/2017,3.4,4.133,Barley Winter,CF34,Barley Winter,2018,0.401
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,1.404,L,7.93,20/09/2017,3.5,4.133,Barley Winter,CF35,Barley Winter,2018,0.401
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,2.752,L,15.55,20/09/2017,4.5,4.133,Sugar Beet,CF10,Sugar Beet,2018,0.611
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,4.757,L,26.89,20/09/2017,7.78,4.133,Sugar Beet,CF17,Sugar Beet,2018,0.611
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,2.446,L,13.82,20/09/2017,4,4.133,Sugar Beet,CF3,Sugar Beet,2018,0.611
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,2.752,L,15.55,20/09/2017,4.5,4.133,Sugar Beet,CF4,Sugar Beet,2018,0.611
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,2.293,L,12.96,20/09/2017,3.75,4.133,Sugar Beet,CF7,Sugar Beet,2018,0.611
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,2.206,L,12.47,20/09/2017,5.5,4.133,Unallocated,CF32,Crop Trials,2018,0.401
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,4.813,L,27.2,20/09/2017,12,4.133,Wheat Winter,CF14,KWS Kerrin,2018,0.401
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,1.404,L,7.93,20/09/2017,3.5,4.133,Wheat Winter,CF25,KWS Kerrin,2018,0.401
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,1.404,L,7.93,20/09/2017,3.5,4.133,Wheat Winter,CF27,KWS Kerrin,2018,0.401
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,2.406,L,13.6,20/09/2017,6,4.133,Wheat Winter,CF50,KWS Kerrin,2018,0.401
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,1.5,L,8.48,15/10/2017,4.2,4.133,Barley Spring,CF16.C/03,Barley Spring,2018,0.357
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,3.5,L,19.78,15/10/2017,9.8,4.133,Wheat Winter,CF16.B/02,KWS Lili,2018,0.357
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,5,L,28.26,21/03/2018,16.7,4.133,Sugar Beet,CF44,Sugar Beet,2018,0.299
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,2.5,L,18.23,06/04/2018,4.2,5.708,Barley Spring,CF16.C/03,Barley Spring,2018,0.595
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,2.406,L,17.54,06/04/2018,4.5,5.708,Sugar Beet,CF10,Sugar Beet,2018,0.535
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,4.16,L,30.33,06/04/2018,7.78,5.708,Sugar Beet,CF17,Sugar Beet,2018,0.535
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,4.384,L,31.96,06/04/2018,8.2,5.708,Sugar Beet,CF26,Sugar Beet,2018,0.535
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,2.139,L,15.59,06/04/2018,4,5.708,Sugar Beet,CF3,Sugar Beet,2018,0.535
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,2.406,L,17.54,06/04/2018,4.5,5.708,Sugar Beet,CF4,Sugar Beet,2018,0.535
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,2.005,L,14.62,06/04/2018,3.75,5.708,Sugar Beet,CF7,Sugar Beet,2018,0.535
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,12.84,L,93.6,09/07/2018,13,5.708,Rape Winter,CF52,Rape Winter,2018,0.988
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,8.395,L,61.2,09/07/2018,8.5,5.708,Rape Winter,CF8,Rape Winter,2018,0.988
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,18.765,L,136.81,09/07/2018,19,5.708,Rape Winter,CF9,Rape Winter,2018,0.988
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Logic,2.687,L,6.13,01/06/2018,4.5,2.283,Sugar Beet,CF10,Sugar Beet,2018,0.597
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Logic,4,L,9.13,01/06/2018,7.78,2.283,Sugar Beet,CF17,Sugar Beet,2018,0.514
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Logic,3.952,L,9.02,01/06/2018,8.2,2.283,Sugar Beet,CF26,Sugar Beet,2018,0.482
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Logic,2.388,L,5.45,01/06/2018,4,2.283,Sugar Beet,CF3,Sugar Beet,2018,0.597
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Logic,2.687,L,6.13,01/06/2018,4.5,2.283,Sugar Beet,CF4,Sugar Beet,2018,0.597
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Logic,8.048,L,18.37,01/06/2018,16.7,2.283,Sugar Beet,CF44,Sugar Beet,2018,0.482
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Logic,2.239,L,5.11,01/06/2018,3.75,2.283,Sugar Beet,CF7,Sugar Beet,2018,0.597
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Nelson,5,L,37.03,07/04/2018,9.5,7.406,Rape Winter,CF9,Rape Winter,2018,0.526
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Rapeze super,15,L,39.33,29/01/2018,13,2.622,Rape Winter,CF52,Rape Winter,2018,1.154
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Remix,3,L,48.52,27/08/2017,13,16.173,Rape Winter,CF52,Rape Winter,2018,0.231
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Remix,1.855,L,29.99,27/08/2017,8.5,16.173,Rape Winter,CF8,Rape Winter,2018,0.218
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Remix,4.145,L,67.05,27/08/2017,19,16.173,Rape Winter,CF9,Rape Winter,2018,0.218
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Remix,1.348,L,21.81,26/10/2017,8,16.173,Wheat Winter,CF16.A,KWS Lili,2018,0.169
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Remix,1.652,L,26.71,26/10/2017,9.8,16.173,Wheat Winter,CF16.B/02,KWS Lili,2018,0.169
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Remix,3.81,L,61.61,02/11/2017,16,16.173,Wheat Winter,CF18,KWS Lili,2018,0.238
