Field Group,Heading Category,Heading,Status,Product Name,Quantity,Units,Value GBP,Actual/Issued Date,Application Area ha,Av Field Unit Price GBP,Crop Group,Field Defined Name,Variety,Year,Quantity per Application Area ha
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,All clear,5,L,16.69,09/10/2018,6.64,3.338,Rape Winter,CF43,Rape Winter,2019,0.753
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,All clear,1.928,L,6.44,23/10/2018,7.78,3.338,Wheat Winter,CF17,Wheat 1st Year,2019,0.248
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,All clear,0.991,L,3.31,23/10/2018,4,3.338,Wheat Winter,CF3,Wheat 1st Year,2019,0.248
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,All clear,1.115,L,3.72,23/10/2018,4.5,3.338,Wheat Winter,CF4,Wheat 1st Year,2019,0.248
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,All clear,3.222,L,10.75,23/10/2018,13,3.338,Wheat Winter,CF52,Wheat 1st Year,2019,0.248
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,All clear,0.929,L,3.1,23/10/2018,3.75,3.338,Wheat Winter,CF7,Wheat 1st Year,2019,0.248
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,All clear,2.106,L,7.03,23/10/2018,8.5,3.338,Wheat Winter,CF8,Wheat 1st Year,2019,0.248
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,All clear,4.708,L,15.72,23/10/2018,19,3.338,Wheat Winter,CF9,Wheat 1st Year,2019,0.248
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,All clear,1.364,L,4.55,10/12/2018,9.55,3.338,Rape Winter,CF16.A,Rape Winter,2019,0.143
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,All clear,2.242,L,7.48,10/12/2018,15.7,3.338,Rape Winter,CF18,Rape Winter,2019,0.143
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,All clear,0.447,L,1.49,10/12/2018,3.13,3.338,Rape Winter,CF21,Rape Winter,2019,0.143
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,All clear,0.948,L,3.16,10/12/2018,6.64,3.338,Rape Winter,CF43,Rape Winter,2019,0.143
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,All clear,10,L,33.94,04/06/2019,4.8,3.394,Sugar Beet,CF13,Sugar Beet,2019,2.083
